route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1,Grand River Transit,1,Queen-River,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
10,Grand River Transit,10,Pioneer,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
12,Grand River Transit,12,Westmount,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
13,Grand River Transit,13,Laurelwood,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
14,Grand River Transit,14,Bathurst,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
16,Grand River Transit,16,Strasburg-Belmont,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
19,Grand River Transit,19,Hazel,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
20,Grand River Transit,20,Victoria-Frederick,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
201,Grand River Transit,201,iXpress Fischer-Hallman,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
202,Grand River Transit,202,iXpress University,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
203,Grand River Transit,203,iXpress Maple Grove,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
204,Grand River Transit,204,iXpress Highland-Victoria,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
205,Grand River Transit,205,iXpress Ottawa,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
206,Grand River Transit,206,iXpress Coronation,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
21,Grand River Transit,21,Elmira,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
22,Grand River Transit,22,Laurentian West,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
23,Grand River Transit,23,Idlewood,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
26,Grand River Transit,26,Trillium,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
27,Grand River Transit,27,Morrison,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
28,Grand River Transit,28,Franklin North,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
29,Grand River Transit,29,Keats-University,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
3,Grand River Transit,3,Ottawa South,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
30,Grand River Transit,30,Ring Road,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
302,Grand River Transit,302,ION bus,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
31,Grand River Transit,31,Columbia,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
33,Grand River Transit,33,Huron,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
34,Grand River Transit,34,Bingemans,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
35,Grand River Transit,35,Greenbrook,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
36,Grand River Transit,36,Thomas Slee,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
4,Grand River Transit,4,Glasgow-Margaret,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
5,Grand River Transit,5,Erb,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
50,Grand River Transit,50,Dundas-Myers,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
51,Grand River Transit,51,Hespeler,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
53,Grand River Transit,53,Franklin,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
55,Grand River Transit,55,Grand Ridge,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
56,Grand River Transit,56,Langs,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
57,Grand River Transit,57,Blair,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
58,Grand River Transit,58,Elgin North,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
6,Grand River Transit,6,Bridge-Courtland,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
60,Grand River Transit,60,Burnett,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
61,Grand River Transit,61,Preston,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
62,Grand River Transit,62,Speedsville,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
63,Grand River Transit,63,Champlain,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
65,Grand River Transit,65,Saginaw,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
67,Grand River Transit,67,Eagle-Pinebush,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
7,Grand River Transit,7,King,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
76,Grand River Transit,76,Doon Mills,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
77,Grand River Transit,77,Wilmot,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
78,Grand River Transit,78,Fountain,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
8,Grand River Transit,8,Weber,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
9,Grand River Transit,9,Lakeshore,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
91,Grand River Transit,91,Late Night Loop,,3,https://www.grt.ca/en/schedules-maps/schedules.aspx
