service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
07MF,0,0,0,0,0,0,0,20260403,20260704
06SA,0,0,0,0,0,0,0,20260403,20260704
06SU,0,0,0,0,0,0,0,20260403,20260704
04MF,0,0,0,0,0,0,0,20260403,20260704
03SA,0,0,0,0,0,0,0,20260403,20260704
01SA,0,0,0,0,0,0,0,20260403,20260704
04SU,0,0,0,0,0,0,0,20260403,20260704
08MF,0,0,0,0,0,0,0,20260403,20260704
03SU,0,0,0,0,0,0,0,20260403,20260704
05SU,0,0,0,0,0,0,0,20260403,20260704
07SA,0,0,0,0,0,0,0,20260403,20260704
01MF,0,0,0,0,0,0,0,20260403,20260704
10MF,0,0,0,0,0,0,0,20260403,20260704
04SA,0,0,0,0,0,0,0,20260403,20260704
02MF,0,0,0,0,0,0,0,20260403,20260704
01SU,0,0,0,0,0,0,0,20260403,20260704
05SA,0,0,0,0,0,0,0,20260403,20260704
06MF,0,0,0,0,0,0,0,20260403,20260704
05MF,0,0,0,0,0,0,0,20260403,20260704
02SU,0,0,0,0,0,0,0,20260403,20260704
03MF,0,0,0,0,0,0,0,20260403,20260704
09MF,0,0,0,0,0,0,0,20260403,20260704
02SA,0,0,0,0,0,0,0,20260403,20260704
07SU,0,0,0,0,0,0,0,20260403,20260704
