route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
301,05SA,433,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,02SU,560,301 Fairway,0,02SU,[@1.0.5502541@]21,0,0
301,09MF,236,301 Conestoga,1,09MF,[@1.0.5502541@]11,0,0
301,01SU,467,301 Conestoga,1,01SU,[@1.0.5502541@]11,0,0
301,05SA,300,301 Fairway,0,05SA,[@1.0.5502541@]21,0,0
301,05SU,510,301 Fairway,0,05SU,[@1.0.5502541@]21,0,0
301,01SA,397,301 Conestoga,1,01SA,[@1.0.5502541@]11,0,0
301,01MF,130,301 Fairway,0,01MF,[@1.0.5502541@]21,0,0
301,08MF,127,301 Fairway,0,08MF,[@1.0.5502541@]21,0,0
301,01MF,291,301 Conestoga,1,01MF,[@1.0.5502541@]11,0,0
301,04SA,333,301 Conestoga,1,04SA,[@1.0.5502541@]11,0,0
301,01SA,437,301 Conestoga,1,01SA,[@1.0.5502541@]11,0,0
301,01SU,572,301 Conestoga,1,01SU,[@1.0.5502541@]11,0,0
301,01SU,453,301 Conestoga,1,01SU,[@1.0.5502541@]11,0,0
301,10MF,227,301 Conestoga,1,10MF,[@1.0.5502541@]11,0,0
301,03SA,429,301 Conestoga,1,03SA,[@1.0.5502541@]11,0,0
301,01SA,348,301 Fairway,0,01SA,[@1.0.5502541@]21,0,0
301,01MF,238,301 Conestoga,1,01MF,[@1.0.5502541@]11,0,0
301,04SA,396,301 Fairway,0,04SA,[@1.0.5502541@]21,0,0
301,06MF,145,301 Fairway,0,06MF,[@1.0.5502541@]21,0,0
301,04SU,529,301 Conestoga,1,04SU,[@1.0.5502541@]11,0,0
301,03MF,162,301 Fairway,0,03MF,[@1.0.5502541@]21,0,0
301,02SU,518,301 Fairway,0,02SU,[@1.0.5502541@]21,0,0
301,04SU,569,301 Conestoga,1,04SU,[@1.0.5502541@]11,0,0
301,01MF,150,301 Fairway,0,01MF,[@1.0.5502541@]21,0,0
301,06SU,571,301 Conestoga,1,06SU,[@1.0.5502541@]11,0,0
301,07MF,116,301 Fairway,0,07MF,[@1.0.5502541@]21,0,0
301,05SU,559,301 Conestoga,1,05SU,[@1.0.5502541@]11,0,0
301,06SA,414,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
301,06SA,358,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
301,03SA,324,301 Fairway,0,03SA,[@1.0.5502541@]21,0,0
301,06SU,498,301 Fairway,0,06SU,[@1.0.5502541@]21,0,0
301,03SU,568,301 Conestoga,1,03SU,[@1.0.5502541@]11,0,0
301,05SA,438,301 Fairway,0,05SA,[@1.0.5502541@]21,0,0
301,08MF,215,301 Conestoga,1,08MF,[@1.0.5502541@]11,0,0
301,03SU,555,301 Conestoga,1,03SU,[@1.0.5502541@]11,0,0
301,01SA,320,301 Fairway,0,01SA,[@1.0.5502541@]21,0,0
301,04SA,424,301 Fairway,0,04SA,[@1.0.5502541@]21,0,0
301,05MF,189,301 Fairway,0,05MF,[@1.0.5502541@]21,0,0
301,08MF,137,301 Fairway,0,08MF,[@1.0.5502541@]21,0,0
301,07SU,493,301 Conestoga,1,07SU,[@1.0.5502541@]11,0,0
301,02MF,285,301 Conestoga,1,02MF,[@1.0.5502541@]11,0,0
301,02SU,469,301 Conestoga,1,02SU,[@1.0.5502541@]11,0,0
301,06SA,302,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
301,07SU,535,301 Conestoga,1,07SU,[@1.0.5502541@]11,0,0
301,03SU,562,301 Fairway,0,03SU,[@1.0.5502541@]21,0,0
301,02SA,371,301 Conestoga,1,02SA,[@1.0.5502541@]11,0,0
301,07MF,281,301 Conestoga,1,07MF,[@1.0.5502541@]11,0,0
301,01SU,516,301 Fairway,0,01SU,[@1.0.5502541@]21,0,0
301,02SA,350,301 Fairway,0,02SA,[@1.0.5502541@]21,0,0
301,06SU,470,301 Fairway,0,06SU,[@1.0.5502541@]21,0,0
301,06SA,434,301 Conestoga,1,06SA,[@1.0.5502541@]11,0,0
301,05MF,114,301 Fairway,0,05MF,[@1.0.5502541@]21,0,0
301,02MF,102,301 Fairway,0,02MF,[@1.0.5502541@]21,0,0
301,03SA,380,301 Fairway,0,03SA,[@1.0.5502541@]21,0,0
301,07SU,521,301 Conestoga,1,07SU,[@1.0.5502541@]11,0,0
301,07MF,126,301 Fairway,0,07MF,[@1.0.5502541@]21,0,0
301,01SA,327,301 Conestoga,1,01SA,[@1.0.5502541@]11,0,0
301,02SU,476,301 Fairway,0,02SU,[@1.0.5502541@]21,0,0
301,09MF,246,301 Conestoga,1,09MF,[@1.0.5502541@]11,0,0
301,05SA,349,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,04SA,417,301 Conestoga,1,04SA,[@1.0.5502541@]11,0,0
301,04SA,431,301 Conestoga,1,04SA,[@1.0.5502541@]11,0,0
301,05SA,377,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,07MF,146,301 Fairway,0,07MF,[@1.0.5502541@]21,0,0
301,08MF,245,301 Conestoga,1,08MF,[@1.0.5502541@]11,0,0
301,07SU,514,301 Fairway,0,07SU,[@1.0.5502541@]21,0,0
301,07SA,360,301 Fairway,0,07SA,[@1.0.5502541@]21,0,0
